               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,             0.04568,            0.013143,            0.027725,             0.55056,                   1,             0.76781,             0.51612,            0.025871,           0.0073449,            0.019892,           0.0078418,           0.0078418,           0.0078418
                 111,            0.040532,            0.011051,            0.025791,             0.55056,                   1,             0.76781,             0.51612,            0.025871,           0.0073449,            0.019892,            0.007822,            0.007822,            0.007822
                 112,            0.044794,            0.012763,            0.030768,             0.57689,             0.95455,             0.75889,              0.4735,            0.025792,           0.0072929,            0.019968,           0.0078022,           0.0078022,           0.0078022
                 113,              0.0385,            0.015105,            0.029349,             0.57689,             0.95455,             0.75889,              0.4735,            0.025792,           0.0072929,            0.019968,           0.0077824,           0.0077824,           0.0077824
                 114,            0.043173,            0.018627,            0.029536,             0.72946,             0.95455,             0.80305,             0.40307,            0.027884,           0.0069965,            0.019636,           0.0077626,           0.0077626,           0.0077626
                 115,            0.043981,            0.012348,            0.027811,             0.72946,             0.95455,             0.80305,             0.40307,            0.027884,           0.0069965,            0.019636,           0.0077428,           0.0077428,           0.0077428
                 116,             0.04674,            0.012857,            0.031066,             0.72946,             0.95455,             0.80305,             0.40307,            0.027884,           0.0069965,            0.019636,            0.007723,            0.007723,            0.007723
                 117,            0.048837,            0.013479,            0.028536,             0.75451,             0.97872,             0.87967,              0.6124,            0.023314,           0.0069719,            0.019827,           0.0077032,           0.0077032,           0.0077032
                 118,            0.042268,            0.017514,            0.029136,             0.75451,             0.97872,             0.87967,              0.6124,            0.023314,           0.0069719,            0.019827,           0.0076834,           0.0076834,           0.0076834
                 119,            0.039861,            0.013503,            0.027507,             0.38342,             0.81364,             0.54206,             0.18914,            0.035335,           0.0066962,            0.019802,           0.0076636,           0.0076636,           0.0076636
                 120,            0.051566,            0.016088,            0.029436,             0.38342,             0.81364,             0.54206,             0.18914,            0.035335,           0.0066962,            0.019802,           0.0076438,           0.0076438,           0.0076438
                 121,            0.055236,            0.012862,            0.028844,             0.38342,             0.81364,             0.54206,             0.18914,            0.035335,           0.0066962,            0.019802,            0.007624,            0.007624,            0.007624
                 122,            0.044449,            0.011826,            0.027344,             0.71795,             0.94615,               0.808,             0.41649,            0.021426,           0.0065466,            0.019476,           0.0076042,           0.0076042,           0.0076042
                 123,            0.041663,            0.013236,            0.028011,             0.71795,             0.94615,               0.808,             0.41649,            0.021426,           0.0065466,            0.019476,           0.0075844,           0.0075844,           0.0075844
                 124,            0.039599,            0.013401,            0.027687,             0.71795,             0.94615,               0.808,             0.41649,            0.021426,           0.0065466,            0.019476,           0.0075646,           0.0075646,           0.0075646
                 125,            0.041171,             0.01061,            0.029986,             0.70458,             0.90408,             0.84185,             0.52647,             0.02044,           0.0063079,            0.019303,           0.0075448,           0.0075448,           0.0075448
                 126,            0.037333,            0.012545,            0.027934,             0.70458,             0.90408,             0.84185,             0.52647,             0.02044,           0.0063079,            0.019303,            0.007525,            0.007525,            0.007525
                 127,            0.041646,            0.012106,            0.025763,             0.68373,             0.78259,             0.85867,             0.45401,            0.032667,           0.0063271,            0.019592,           0.0075052,           0.0075052,           0.0075052
                 128,            0.048829,             0.01523,            0.028296,             0.68373,             0.78259,             0.85867,             0.45401,            0.032667,           0.0063271,            0.019592,           0.0074854,           0.0074854,           0.0074854
                 129,            0.050585,            0.012633,             0.02965,             0.68373,             0.78259,             0.85867,             0.45401,            0.032667,           0.0063271,            0.019592,           0.0074656,           0.0074656,           0.0074656
                 130,            0.047383,            0.013228,            0.029667,             0.66183,             0.81818,              0.8432,             0.52251,            0.024619,           0.0061475,             0.01943,           0.0074458,           0.0074458,           0.0074458
                 131,            0.038991,            0.013151,            0.026306,             0.66183,             0.81818,              0.8432,             0.52251,            0.024619,           0.0061475,             0.01943,            0.007426,            0.007426,            0.007426
                 132,            0.043564,            0.015021,            0.028408,             0.72889,             0.83475,             0.85986,             0.36504,            0.031809,            0.006116,            0.018822,           0.0074062,           0.0074062,           0.0074062
                 133,             0.04939,            0.012784,            0.027852,             0.72889,             0.83475,             0.85986,             0.36504,            0.031809,            0.006116,            0.018822,           0.0073864,           0.0073864,           0.0073864
                 134,            0.049481,            0.012424,            0.028661,             0.72889,             0.83475,             0.85986,             0.36504,            0.031809,            0.006116,            0.018822,           0.0073666,           0.0073666,           0.0073666
